,Open,High,Low,Close,Date,Volume
286,0.005818,0.006444,0.005818,0.006177,2016-08-06 18:00:00,1303140.0
287,0.006026,0.006201,0.006026,0.00619,2016-08-10 18:00:00,406905.0
288,0.006131,0.006131,0.005993,0.006034,2016-08-14 18:00:00,486413.0
289,0.006138,0.006138,0.006103,0.006103,2016-08-18 18:00:00,1357320.0
290,0.00612,0.00612,0.006,0.006019,2016-08-22 18:00:00,974803.0
291,0.006059,0.006081,0.005976,0.005976,2016-08-26 18:00:00,242501.0
292,0.005961,0.00614,0.005961,0.006008,2016-08-30 18:00:00,1173350.0
293,0.00599,0.00599,0.005962,0.005962,2016-09-02 18:00:00,678314.0
294,0.005945,0.005945,0.005889,0.005889,2016-09-06 18:00:00,687249.0
295,0.005902,0.005902,0.005844,0.005844,2016-09-10 18:00:00,528001.0
296,0.005894,0.008299,0.005892,0.008299,2016-09-14 18:00:00,15821900.0
297,0.007376,0.007376,0.006857,0.006872,2016-09-18 18:00:00,2925540.0
298,0.006788,0.007268,0.006788,0.007268,2016-09-22 18:00:00,3056340.0
299,0.007385,0.008253,0.007385,0.008253,2016-09-26 18:00:00,6179620.0
300,0.009061,0.009061,0.008857,0.008857,2016-09-29 18:00:00,7548990.0
301,0.0082,0.0082,0.008123,0.008123,2016-10-02 18:00:00,2571860.0
302,0.00788,0.00788,0.007367,0.007367,2016-10-06 18:00:00,3030770.0
303,0.007308,0.008271,0.007308,0.008271,2016-10-10 18:00:00,3961500.0
304,0.007945,0.008829,0.007945,0.008146,2016-10-14 18:00:00,796875.0
305,0.008061,0.008584,0.008035,0.008584,2016-10-18 18:00:00,3183470.0
306,0.009093,0.009397,0.008966,0.009397,2016-10-22 18:00:00,931166.0
307,0.00906,0.00906,0.008505,0.008505,2016-10-26 18:00:00,4357390.0
308,0.00843,0.00843,0.007723,0.008229,2016-10-30 18:00:00,2434650.0
309,0.00809,0.008211,0.008022,0.008022,2016-11-02 18:00:00,3109450.0
310,0.008155,0.00823,0.008114,0.008114,2016-11-06 18:00:00,2288450.0
311,0.008239,0.008239,0.008062,0.008062,2016-11-10 18:00:00,2085190.0
312,0.008047,0.008254,0.007886,0.007886,2016-11-14 18:00:00,3048710.0
313,0.007848,0.007848,0.007731,0.007798,2016-11-18 18:00:00,1300900.0
314,0.007644,0.007644,0.007049,0.007049,2016-11-22 18:00:00,3721340.0
315,0.006948,0.007302,0.0069,0.007302,2016-11-26 18:00:00,546743.0
316,0.007008,0.007008,0.006737,0.006737,2016-11-29 18:00:00,1486150.0
317,0.006716,0.006716,0.006595,0.006595,2016-12-02 18:00:00,1217110.0
318,0.006531,0.00682,0.006422,0.00682,2016-12-06 18:00:00,2731090.0
319,0.007103,0.007134,0.006743,0.006743,2016-12-10 18:00:00,981049.0
320,0.006779,0.006779,0.006658,0.006658,2016-12-14 18:00:00,1030760.0
321,0.006709,0.006709,0.006536,0.006543,2016-12-18 18:00:00,1092150.0
322,0.006495,0.006495,0.006281,0.006281,2016-12-22 18:00:00,3560500.0
323,0.006342,0.006444,0.006189,0.006189,2016-12-26 18:00:00,2467560.0
324,0.006184,0.006487,0.006184,0.006487,2016-12-30 18:00:00,272476.0
325,0.006376,0.006385,0.006309,0.006385,2017-01-02 18:00:00,1014600.0
326,0.006566,0.006566,0.006194,0.006361,2017-01-06 18:00:00,1357240.0
